Link,Question,Username,Comment
,,li_xin_rong,Sleep &gt; 7h
,,waanjuun,quality sleep
,,imprdsdef,Lesser screentime
,,raihanaaazmi,eat healthy!
,,filmsby_kat,Think more positively!
,,andrew_retryans,Sleep more
,,shibabibba,chill more
,,ch4rlll,Sleep more!🔥
,,hazelly.hazel,rest more!
,,deth4r,read more
,,soowee_hzw,Revenge procrastinate less
,,salted_chicken13,sleep more
,,hui_photos,Sleep more
,,jarvis.han.7,exercise more!
,,buffetthing112,Exercise frequently!
,,germtqy,rest more!!
,,shihyong_,Rest more
,,simqixun,exercise more!!!!
,,ginatxy,sleep earlier 🛌
,,singaporian73,go running more
,,clarisacheam,fix my body clock
,,eunkahhh,sleep
,,btzzcold,Work hardddd
,,zxrux,eat more
,,johnathanng_,Sleep earlier
,,sxmlw,Golf
,,christ.iinn,sleep
,,qionghuii,Sleep more
,,hannbaobao,work life balance
,,strawbmatchalattee,eat clean
,,itspastmybedtimeman,Wake up earlier lol
,,inxineroar,exercise
,,justiinndc,Less doomscrollimg
,,claric.ce,Being more physically active!
,,dilysyeo,exercise more
,,jekgene,Have fun and enjoy
,,koolshizz,exercise more
,,kkh_0418,More sleep
,,daymierhn,sleep
,,eu_hian,chill with friends
,,zhengnanang,Run more!
,,huiminbombz,spend more time w my family!
,,cherwongg,explore the world more!
,,tiredbsim,Get good rest
,,jamond,Exercise more
,,catlvrmeow,continue with my runs every week
,,debangshi.banerjee,Workout more
,,tofuthann,rest well
,,john.nggg,I want to walk more!
,,tericiaaa,sleep earlier
,,intreeguin,i want the wack
,,pres.t0,"Sleep, rest and have fun"
,,yjiajy,Sleep more
,,carmenqq0,Exercise more!
,,farahqiz,Sleep earlyy
,,mil.yllek,Sleep more
,,flyingsohai,eat more sleep more
,,jiaren_gou,sleep more!
,,shar.castic_plot,Sleep earlier
,,insertjadesname,less screen time
,,zoe_dharmadi,Spend more time with the people i care about!!
,,monkeynvrcramps,i wanna sleep more
,,aaaaaaandreaaaaaaa,be healthier
,,nhongming_,Finding time to unwind!
,,bernardcks,Exercise more
,,m.yuu____,Healthy Living Chat
,,call_mi_soon,exercise more!
,,niicc.cc,Exercise more!
,,joshualimquanxin,Study better
,,owo_prof_badge_life,Take more breaks to prevent myself from burning out!
,,rymarks_,more moneyyyy
,,klepon.exe,eat better and sleep longer
,,lex.lhf,Sleep more
,,denise_lie_,More fullfilling life
,,ccchickennuggets,watch more drama
,,forameus,Better time management
,,chengyuan_60,Sleep early
,,chitraxxd,Sleep more
,,elvinalinggo,sleep more 😴😴😴
,,isabxllex,read books
,,dhariz_lollies,Exploring the world!
,,tiffxnychxn,have a growth mindset :)
,,w.isaaacccc,sleep
,,felithealienhehebye,wake up earlier!
,,bernnnicee,study more
,,anayagehi,What makes u happy
,,sohzhiyi,eat healthyyy
,,leseil,exercise more!
,,keiraleeeee,stop using tiktok
,,dominicrhlee,Have fun every time!
,,taboyano,yay
,,nandini.kulkarnii,yayyy
,,krys._.talll,i will sleep earlier and minimise my screen time 🤥
,,sukyik.28,stay fit!
,,mkgq_xd,siuuuuu
,,ngtris1999,❤️
,,lvhxinyi,journal!
,,jwenhung,drink more water 💧
,,ithinkgreenteaisgreat,poop more
,,eiiirayoong,Exercise more
,,l1leya,sleep earlier
,,jayney_yy,stress less
,,nurisabellaa,sleep more!
,,yamsnay,use social media less
,,snneeze,laugh
,,karmundonteatgreen,sleep more
,,hharinii,be happy
,,youjustgotaced,Sleep more
,,xwh.at.ena,procrastinate less
,,_cxleste.e_,spend time w fam and frens
,,cljyyyy,exercise more!!
,,ohhhhkaiii,Be discipline
,,vonnieskhan,Sleep
,,wink.wonk.wionk,eat healthier
,,bliss_ong,get a dog
,,arthurrchann,more sleep
,,kcy8781,Spend more time with loved ones
,,fellero.rocher,!!
,,thequek_,free Garrett popcorn
,,gladysliuu,Excercise!
,,yapfl21,less procrastination
,,dwayteroo_,more sleep
,,___jujujuju___,be positive !
,,xi4n_xun,sleep more
,,doobi.bab,i shld eat more GOOD FOOD!!!!!
,,mingweii.p,Don’t do ur project
,,brian_lzl,Leetcode
,,ilovelectures,rest more! then continue🔥🔥
,,gallusti,Sleep more 🙌
,,de.cline,sleep more and be happy!
,,nikos_wan,Sleep more!
,,yingyin.3,Exercise more 🙌
,,yh.wmv,sleep
,,extraheatextraspice,sleep more
,,carreeong,sleep more
,,kellihmq,be grateful!
,,jkjk_2007,Exercise more
,,madsingerhkt,Engage in your hobbies!
,,javierlzy_,exercise
,,jagger_mok,Love myself more!!!
,,sillyteadolt,read more books!
,,younothappyisit,sleep more
,,_huai.en,be happyyy
,,awildlilyappeared,life is more than studies guys!!!
,,treeenaaaaa,be happy!
,,shmelabela,drink more water
